,Номенклатура,ДатаПонедельника,МесяцГод,КоличествоОборот,СуммаВыручкиБезНДСОборот,Себестоимость,Месяц,"Высота профиля, %","Высота шины, мм",Индекс нагрузки,Комплектность,Максимальная нагрузка,Наружный диаметр шины,Норма слойности,"Посадочный диаметр, дюйм",Предполагаемый контрагент,Сезон,Ширина профиля,Страна происхождения,Сезонная группа,ОстаткиПередНеделей,ОстаткиПослеНедели,Прогноз
37,49775,2017-09-11,"[9, 2017]",1.0,303.33,['264.48'],9.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
38,49775,2017-09-18,"[9, 2017]",0.0,0.0,[],9.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
39,49775,2017-09-25,"[9.285714285714286, 2017]",0.0,0.0,[],9.285714285714286,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
40,49775,2017-10-02,"[10, 2017]",0.0,0.0,[],10.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
41,49775,2017-10-09,"[10, 2017]",0.0,0.0,[],10.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
42,49775,2017-10-16,"[10, 2017]",0.0,0.0,[],10.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
43,49775,2017-10-23,"[10, 2017]",0.0,0.0,[],10.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
44,49775,2017-10-30,"[10.857142857142858, 2017]",0.0,0.0,[],10.857142857142858,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
45,49775,2017-11-06,"[11, 2017]",1.0,287.5,['270.43'],11.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
46,49775,2017-11-13,"[11, 2017]",0.0,0.0,[],11.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
47,49775,2017-11-20,"[11, 2017]",0.0,0.0,[],11.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
48,49775,2017-11-27,"[11.571428571428571, 2017]",0.0,0.0,[],11.571428571428571,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
49,49775,2017-12-04,"[12, 2017]",0.0,0.0,[],12.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
50,49775,2017-12-11,"[12, 2017]",0.0,0.0,[],12.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
51,49775,2017-12-18,"[12, 2017]",0.0,0.0,[],12.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
52,49775,2017-12-25,"[12.142857142857142, 2018]",8.0,2354.32,['2168.82'],12.142857142857142,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
53,49775,2018-01-01,"[1, 2018]",0.0,0.0,[],1.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
54,49775,2018-01-08,"[1, 2018]",0.0,0.0,[],1.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
55,49775,2018-01-15,"[1, 2018]",0.0,0.0,[],1.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
56,49775,2018-01-22,"[1, 2018]",0.0,0.0,[],1.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
57,49775,2018-01-29,"[1.7142857142857144, 2018]",0.0,0.0,[],1.7142857142857144,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
58,49775,2018-02-05,"[2, 2018]",0.0,0.0,[],2.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
59,49775,2018-02-12,"[2, 2018]",0.0,0.0,[],2.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
60,49775,2018-02-19,"[2, 2018]",4.0,1184.0,['1108.07'],2.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
61,49775,2018-02-26,"[2.7142857142857144, 2018]",2.0,609.5,['554.03'],2.7142857142857144,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
62,49775,2018-03-05,"[3, 2018]",0.0,0.0,[],3.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
63,49775,2018-03-12,"[3, 2018]",2.0,617.0,['554.03'],3.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
64,49775,2018-03-19,"[3, 2018]",0.0,0.0,[],3.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
65,49775,2018-03-26,"[3.2857142857142856, 2018]",2.0,592.0,['544.65'],3.2857142857142856,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
66,49775,2018-04-02,"[4, 2018]",6.0,1782.0,['1623.15'],4.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
67,49775,2018-04-09,"[4, 2018]",4.0,1278.96,"['541.05', '541.05']",4.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
68,49775,2018-04-16,"[4, 2018]",0.0,0.0,[],4.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
69,49775,2018-04-23,"[4, 2018]",6.0,1943.88,['1604.86'],4.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
70,49775,2018-04-30,"[5.0, 2018]",2.0,616.66,['534.95'],5.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
71,49775,2018-05-07,"[5, 2018]",13.0,3994.4700000000003,"['1069.91', '267.48', '534.95', '541.05', '1069.92']",5.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
72,49775,2018-05-14,"[5, 2018]",20.0,6339.0,"['1034.24', '1034.24', '517.12', '1034.24', '1551.35']",5.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
73,49775,2018-05-21,"[5, 2018]",12.0,3536.7000000000003,"['517.12', '2585.59']",5.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
74,49775,2018-05-28,"[5.571428571428571, 2018]",14.0,4140.92,"['1541.99', '1024.87', '1034.24']",5.571428571428571,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
75,49775,2018-06-04,"[6, 2018]",6.0,1943.88,['1535'],6.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
