,Дата,День недели,Номенклатура,КоличествоОборот,СуммаВыручкиБезНДСОборот,Себестоимость,"Высота профиля, %","Высота шины, мм",Индекс нагрузки,Комплектность,Максимальная нагрузка,Наружный диаметр шины,Норма слойности,"Посадочный диаметр, дюйм",Предполагаемый контрагент,Сезон,Ширина профиля,Страна происхождения,Сезонная группа,remains_morning,remains_evening
1329,2020-08-22,5,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1330,2020-08-23,6,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1331,2020-08-24,0,49775,10.0,3155.0,['2848.84'],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1332,2020-08-25,1,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1333,2020-08-26,2,49775,1.0,355.76,['287.44'],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1334,2020-08-27,3,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1335,2020-08-28,4,49775,8.0,2844.66,"['1739.24', '571.36']",,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1336,2020-08-29,5,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1337,2020-08-30,6,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1338,2020-08-31,0,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1339,2020-09-01,1,49775,2.0,718.44,['570.28'],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1340,2020-09-02,2,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1341,2020-09-03,3,49775,2.0,730.0,['570.29'],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1342,2020-09-04,4,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1343,2020-09-05,5,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1344,2020-09-06,6,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1345,2020-09-07,0,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1346,2020-09-08,1,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1347,2020-09-09,2,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1348,2020-09-10,3,49775,6.0,1957.4,"['1151.03', '572.58']",,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1349,2020-09-11,4,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1350,2020-09-12,5,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1351,2020-09-13,6,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1352,2020-09-14,0,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1353,2020-09-15,1,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1354,2020-09-16,2,49775,4.0,1291.4,['1140.56'],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1355,2020-09-17,3,49775,4.0,1327.1799999999998,"['574.87', '569.63']",,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1356,2020-09-18,4,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1357,2020-09-19,5,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1358,2020-09-20,6,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1359,2020-09-21,0,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1360,2020-09-22,1,49775,2.0,719.2,"['283.86', '283.86']",,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1361,2020-09-23,2,49775,4.0,1379.1799999999998,"['570.82', '570.29']",,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1362,2020-09-24,3,49775,7.0,2443.3500000000004,"['287.44', '572.57', '1129.65']",,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1363,2020-09-25,4,49775,4.0,1468.62,"['569.63', '543.86']",,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1364,2020-09-26,5,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1365,2020-09-27,6,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1366,2020-09-28,0,49775,2.0,673.18,['574.87'],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1367,2020-09-29,1,49775,2.0,673.18,['574.87'],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1368,2020-09-30,2,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1369,2020-10-01,3,49775,6.0,2283.0,['1714.46'],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1370,2020-10-02,4,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1371,2020-10-03,5,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1372,2020-10-04,6,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1373,2020-10-05,0,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1374,2020-10-06,1,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1375,2020-10-07,2,49775,8.0,2797.2,['2283.57'],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1376,2020-10-08,3,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1377,2020-10-09,4,49775,1.0,355.48,['283.86'],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1378,2020-10-10,5,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1379,2020-10-11,6,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1380,2020-10-12,0,49775,1.0,355.48,['283.86'],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1381,2020-10-13,1,49775,2.0,710.96,['569.63'],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1382,2020-10-14,2,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1383,2020-10-15,3,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1384,2020-10-16,4,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1385,2020-10-17,5,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1386,2020-10-18,6,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1387,2020-10-19,0,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1388,2020-10-20,1,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
