,Номенклатура,КоличествоОборот,СуммаВыручкиБезНДСОборот,Себестоимость,Месяц,"Высота профиля, %","Высота шины, мм",Индекс нагрузки,Комплектность,Максимальная нагрузка,Наружный диаметр шины,Норма слойности,"Посадочный диаметр, дюйм",Предполагаемый контрагент,Сезон,Ширина профиля,Страна происхождения,Сезонная группа,МесяцГод,ОстаткиПередМесяцем,ОстаткиПослеМесяца,Прогноз
37,49775,30.0,9675.41,"['546.99', '819.67', '565.44', '2000.1', '1142.91', '546.45', '565.44', '1142.91', '571.46', '546.45']",2,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[2, 2020]",0,0,0
38,49775,30.0,10033.489999999998,"['565.44', '282.72', '1111.89', '571.46', '1147.07', '565.44', '546.45', '1706.2', '848.17', '851.17', '282.72']",3,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[3, 2020]",0,0,0
39,49775,18.0,5878.74,"['582.65', '571.46', '2887.34', '1130.89']",4,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[4, 2020]",0,0,0
40,49775,59.0,19140.219999999998,"['573.54', '577.07', '582.65', '1721', '571.46', '1154.11', '1162.51', '582.65', '1087.72', '1165.29', '271.93', '577.05', '582.65', '582.65', '2739.99', '543.86', '1118.97', '543.86', '543.86']",5,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[5, 2020]",0,0,0
41,49775,60.0,20009.480000000003,"['543.86', '546.45', '291.32', '1151.11', '2320.9', '2889', '2285', '571.93', '1144.1', '546.45', '541.01', '300', '567.05', '2884.34', '580.53']",6,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[6, 2020]",0,0,0
42,49775,64.0,21835.64,"['1170.8', '1161.07', '271.93', '1154.15', '1709.16', '585.84', '580.53', '1161.07', '582.04', '1753.72', '1164.08', '582.04', '582.04', '1724.61', '582.04', '577.7', '291.02', '1153.32', '577.8', '574.87', '582.04']",7,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[7, 2020]",0,0,0
43,49775,51.0,16838.15,"['877.8', '300', '1152.58', '1150.91', '857.05', '285.68', '571.37', '1715.31', '1164.08', '1140.56', '2848.84', '287.44', '1739.24', '571.36']",8,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[8, 2020]",0,0,0
44,49775,39.0,13381.130000000001,"['570.28', '570.29', '1151.03', '572.58', '1140.56', '574.87', '569.63', '283.86', '283.86', '570.82', '570.29', '287.44', '572.57', '1129.65', '569.63', '543.86', '574.87', '574.87']",9,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[9, 2020]",0,0,23
45,49775,26.0,9150.119999999999,"['1714.46', '2283.57', '283.86', '283.86', '569.63', '569.63', '1145.37', '569.63']",10,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[10, 2020]",0,0,25
46,49775,3.0,1089.98,"['569.63', '273.23']",11,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[11, 2020]",0,0,12
47,49775,9.0,3357.1099999999997,"['564.25', '1150.71', '943.09']",12,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[12, 2020]",0,0,11
48,49775,2.0,728.34,['573.12'],1,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[1, 2021]",0,0,6
49,49775,0.0,0.0,[],2,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[2, 2021]",0,0,3
50,49775,0.0,0.0,[],3,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[3, 2021]",0,0,2
51,49775,0.0,0.0,[],4,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[4, 2021]",0,0,1
52,49775,0.0,0.0,[],5,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[5, 2021]",0,0,1
53,49775,0.0,0.0,[],6,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[6, 2021]",0,0,1
54,49775,0.0,0.0,[],7,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[7, 2021]",0,0,1
55,49775,0.0,0.0,[],8,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,"[8, 2021]",0,0,1
